init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
1860 2.57995182e+02 2.42841e-03 4.74065e+00 8.93969e-05 1.12943e+02
1870 2.59371297e+02 2.68234e-03 4.76498e+00 9.87339e-05 1.16202e+02
1880 2.60803711e+02 2.63864e-03 4.79113e+00 8.63459e-05 1.02849e+02
1890 2.62171131e+02 2.71547e-03 4.81781e+00 9.01515e-05 1.10942e+02
1900 2.63522975e+02 2.63374e-03 4.84550e+00 9.55342e-05 1.10139e+02
1910 2.64910015e+02 2.75181e-03 4.87290e+00 9.63696e-05 1.02625e+02
1920 2.66300302e+02 2.85902e-03 4.90105e+00 8.59397e-05 1.00929e+02
1930 2.67674293e+02 2.81535e-03 4.92948e+00 9.26178e-05 1.06830e+02
1940 2.69068995e+02 2.83067e-03 4.95782e+00 8.92419e-05 9.52392e+01
1950 2.70461326e+02 2.91941e-03 4.98692e+00 8.70079e-05 1.00929e+02
1960 2.71831365e+02 2.68754e-03 5.01527e+00 9.22496e-05 1.08627e+02
1970 2.73193154e+02 2.93247e-03 5.04382e+00 8.54565e-05 9.83574e+01
1980 2.74567109e+02 3.04064e-03 5.07369e+00 9.81070e-05 8.93982e+01
1990 2.75927405e+02 2.91544e-03 5.10319e+00 8.77775e-05 9.09145e+01
2000 2.77291924e+02 3.20548e-03 5.13344e+00 9.32188e-05 8.79794e+01
2010 2.78650947e+02 3.21539e-03 5.16541e+00 9.76637e-05 9.62189e+01
2020 2.80012369e+02 3.16262e-03 5.19704e+00 9.68431e-05 9.15703e+01
2030 2.81430672e+02 3.20704e-03 5.22904e+00 9.16417e-05 9.18600e+01
2040 2.82782303e+02 3.21248e-03 5.26049e+00 9.31177e-05 9.51839e+01
2050 2.84130662e+02 3.27486e-03 5.29218e+00 9.89792e-05 8.91188e+01
2060 2.85481729e+02 3.18044e-03 5.32353e+00 9.49526e-05 8.92043e+01
2070 2.86857676e+02 3.31433e-03 5.35582e+00 7.99558e-05 9.38910e+01
2080 2.88209834e+02 2.98403e-03 5.38867e+00 9.53629e-05 9.96969e+01
2090 2.89548928e+02 3.42109e-03 5.42021e+00 9.99932e-05 8.83559e+01
2100 2.90907395e+02 3.27539e-03 5.45264e+00 9.28067e-05 8.80998e+01
2110 2.92264258e+02 3.04312e-03 5.48389e+00 9.16532e-05 8.91413e+01
2120 2.93607036e+02 3.10067e-03 5.51354e+00 8.42528e-05 9.35360e+01
2130 2.94967186e+02 3.27517e-03 5.54410e+00 9.98376e-05 8.87619e+01
2140 2.96357418e+02 3.29402e-03 5.57667e+00 8.45748e-05 9.79657e+01
2150 2.97709163e+02 3.17422e-03 5.60941e+00 8.70456e-05 9.35261e+01
2160 2.99059570e+02 3.14110e-03 5.64115e+00 8.18099e-05 9.05218e+01
2170 3.00428418e+02 2.99953e-03 5.67035e+00 9.80808e-05 9.58293e+01
2180 3.01766825e+02 3.06128e-03 5.70056e+00 8.02343e-05 9.71162e+01
2190 3.03112166e+02 3.15657e-03 5.73190e+00 9.55854e-05 9.76293e+01
2200 3.04445306e+02 3.27892e-03 5.76346e+00 8.16835e-05 9.66021e+01
2210 3.05801901e+02 3.09074e-03 5.79519e+00 9.16083e-05 8.96908e+01
2220 3.07155245e+02 3.26959e-03 5.82713e+00 9.35429e-05 9.60404e+01
2230 3.08534861e+02 3.31853e-03 5.85965e+00 9.73035e-05 9.49546e+01
2240 3.09909482e+02 3.36167e-03 5.89235e+00 9.23943e-05 1.00042e+02
2250 3.11264889e+02 3.03737e-03 5.92438e+00 8.20554e-05 9.32561e+01
2260 3.12631965e+02 3.36877e-03 5.95652e+00 9.64569e-05 9.38129e+01
2270 3.13995624e+02 3.05099e-03 5.98883e+00 8.91147e-05 1.00561e+02
2280 3.15354953e+02 3.10010e-03 6.02050e+00 8.54019e-05 9.99831e+01
2290 3.16707692e+02 3.16267e-03 6.05125e+00 8.10575e-05 9.66313e+01
2300 3.18048013e+02 2.99556e-03 6.08199e+00 8.04843e-05 9.72598e+01
2310 3.19402039e+02 3.14609e-03 6.11305e+00 8.46558e-05 9.42020e+01
2320 3.20754119e+02 3.20100e-03 6.14440e+00 7.98673e-05 9.68371e+01
2330 3.22127959e+02 3.36352e-03 6.17641e+00 8.43549e-05 9.56026e+01
