================================================================================
HPC^2 EXECUTION PARAMETERS
================================================================================
                       profile: true
                       overlap: true
                           thr: [4]
Default used for parameters:
                           upd: 1
                           soc: 0
                           dev: 1
                           arc: []
                           str: []
                           wgt: []
                           smf: []
--------------------------------------------------------------------------------
 dev[0]: arc=0, thr=4, wgt=1.000000, smf=1
init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
 rank 0, part 0: inn 122880, ifc 8192, hal 8192; send 8192; swap 0; recv 8192
 rank 0, part 0: inn 393216, ifc 8192, hal 0; send 0; swap 0; recv 0
 rank 0, part 0: inn 126976, ifc 8192, hal 8192; send 8192; swap 0; recv 8192
 rank 0, part 0: inn 4096, ifc 0, hal 0; send 0; swap 0; recv 0
 rank 0, part 0: inn 2, ifc 3, hal 0; send 0; swap 0; recv 0
dim_: 1, ncmp: 1, dim: 1
#  ite wclock  ts time  resSolver  max(ux) 
2030 2.53563141e+03 3.55019e-03 6.14727e+00 8.11240e-05 6.71488e+01
2040 2.54801689e+03 3.62909e-03 6.18391e+00 8.04422e-05 6.55831e+01
2050 2.56067810e+03 3.44019e-03 6.22058e+00 7.48477e-05 6.78737e+01
2060 2.57331592e+03 3.26570e-03 6.25406e+00 7.76340e-05 6.91288e+01
2070 2.58608054e+03 3.70657e-03 6.28979e+00 8.10636e-05 6.42878e+01
2080 2.59880905e+03 3.63249e-03 6.32645e+00 7.86923e-05 6.80169e+01
2090 2.61115202e+03 3.26593e-03 6.36003e+00 7.35374e-05 7.21159e+01
2100 2.62358809e+03 4.00725e-03 6.39689e+00 8.21811e-05 6.50392e+01
2110 2.63619658e+03 3.67677e-03 6.43399e+00 7.93255e-05 6.76953e+01
2120 2.64882574e+03 3.85177e-03 6.47149e+00 8.23697e-05 6.29433e+01
2130 2.66140524e+03 3.97851e-03 6.50984e+00 8.25946e-05 6.03891e+01
2140 2.67402085e+03 3.74292e-03 6.54831e+00 8.00868e-05 5.99084e+01
2150 2.68677692e+03 3.75941e-03 6.58716e+00 7.80334e-05 6.12683e+01
2160 2.69959234e+03 3.69959e-03 6.62533e+00 7.60590e-05 6.39114e+01
2170 2.71234328e+03 3.80350e-03 6.66302e+00 8.09788e-05 6.38375e+01
2180 2.72488180e+03 3.83868e-03 6.70064e+00 8.01936e-05 6.43043e+01
2190 2.73713936e+03 3.49023e-03 6.73626e+00 7.32936e-05 5.95139e+01
2200 2.74946759e+03 3.96323e-03 6.77424e+00 8.13759e-05 6.37143e+01
2210 2.76194034e+03 3.68917e-03 6.81250e+00 7.67117e-05 6.21359e+01
2220 2.77496268e+03 3.70711e-03 6.85040e+00 7.63502e-05 6.50546e+01
2230 2.78824381e+03 3.62253e-03 6.88840e+00 7.52265e-05 6.46024e+01
2240 2.80139304e+03 3.69563e-03 6.92568e+00 7.80209e-05 7.63179e+01
2250 2.81447104e+03 3.68843e-03 6.96300e+00 7.83418e-05 7.57545e+01
2260 2.82735070e+03 3.82872e-03 7.00129e+00 7.84055e-05 6.86606e+01
2270 2.83993126e+03 3.96557e-03 7.03967e+00 7.93232e-05 6.13642e+01
2280 2.85243780e+03 4.16980e-03 7.07997e+00 7.70076e-05 6.14902e+01
2290 2.86487239e+03 4.09301e-03 7.11990e+00 7.94573e-05 6.38915e+01
2300 2.87708972e+03 3.80994e-03 7.15840e+00 7.67156e-05 6.04690e+01
2310 2.88905416e+03 3.07295e-03 7.19160e+00 6.52894e-05 6.13878e+01
2320 2.90101545e+03 3.47173e-03 7.22527e+00 7.30432e-05 5.74652e+01
2330 2.91277050e+03 3.68385e-03 7.26244e+00 7.45519e-05 6.08404e+01
2340 2.92511008e+03 4.00650e-03 7.30053e+00 7.93121e-05 6.00509e+01
2350 2.93773727e+03 3.66448e-03 7.34208e+00 7.19014e-05 6.38374e+01
2360 2.94947614e+03 3.30292e-03 7.37508e+00 6.76087e-05 6.83925e+01
2370 2.96021261e+03 3.95624e-03 7.41285e+00 7.66809e-05 6.62829e+01
2380 2.97218110e+03 3.83254e-03 7.45112e+00 7.35000e-05 6.65042e+01
2390 2.98466569e+03 3.18049e-03 7.48691e+00 6.42717e-05 6.28297e+01
2400 2.99700337e+03 3.73532e-03 7.51966e+00 7.03060e-05 6.05501e+01
2410 3.00967427e+03 3.91895e-03 7.55909e+00 7.50317e-05 5.99209e+01
2420 3.02220963e+03 4.03358e-03 7.59736e+00 7.41576e-05 5.50290e+01
