init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
2640 4.66661565e+02 3.48207e-04 8.42573e-01 2.96691e-06 1.01796e+02
2650 4.68297983e+02 3.72543e-04 8.46133e-01 4.34841e-06 9.42512e+01
2660 4.69955377e+02 3.81160e-04 8.49945e-01 4.20929e-06 9.30454e+01
2670 4.71598636e+02 3.85193e-04 8.53798e-01 5.03259e-06 9.23878e+01
2680 4.73285671e+02 3.84964e-04 8.57651e-01 4.27049e-06 9.20850e+01
2690 4.75006621e+02 3.98480e-04 8.61543e-01 3.09375e-06 8.85747e+01
2700 4.76695961e+02 4.02571e-04 8.65544e-01 2.99465e-06 8.81666e+01
2710 4.79465349e+02 3.89584e-04 8.69501e-01 3.21392e-06 9.10765e+01
2720 4.81983632e+02 3.95752e-04 8.73412e-01 2.91250e-06 8.98262e+01
2730 4.83641635e+02 4.03267e-04 8.77390e-01 2.47786e-06 8.76476e+01
2740 4.85279370e+02 3.76372e-04 8.81303e-01 3.24920e-06 9.47299e+01
2750 4.86924069e+02 3.80536e-04 8.85055e-01 1.54667e-06 9.27948e+01
2760 4.88565652e+02 3.97772e-04 8.88973e-01 1.58940e-06 8.89131e+01
2770 4.90208792e+02 4.02329e-04 8.92967e-01 2.30178e-06 8.84286e+01
2780 4.91887824e+02 3.90873e-04 8.96952e-01 2.04274e-06 9.11132e+01
2790 4.93562312e+02 3.82681e-04 9.00840e-01 2.13388e-06 9.29585e+01
2800 4.95211811e+02 3.93370e-04 9.04680e-01 2.01193e-06 9.02613e+01
2810 4.96869795e+02 3.95978e-04 9.08629e-01 2.22370e-06 9.00148e+01
2820 4.98519238e+02 3.71738e-04 9.12446e-01 1.90649e-06 9.51475e+01
2830 5.00173190e+02 3.87188e-04 9.16198e-01 1.70993e-06 9.10894e+01
2840 5.01824468e+02 3.90907e-04 9.20077e-01 1.75557e-06 9.04096e+01
2850 5.03477204e+02 3.96347e-04 9.24041e-01 2.19746e-06 8.96561e+01
2860 5.05122930e+02 3.99000e-04 9.28026e-01 2.91761e-06 8.93522e+01
2870 5.06773960e+02 3.94316e-04 9.31968e-01 3.26474e-06 8.97962e+01
2880 5.08420997e+02 3.90937e-04 9.35947e-01 3.29819e-06 9.07127e+01
2890 5.10081153e+02 3.92459e-04 9.39834e-01 2.98139e-06 8.96012e+01
2900 5.14270890e+02 4.09613e-04 9.43875e-01 2.62556e-06 8.68654e+01
2910 5.20856962e+02 4.05026e-04 9.47958e-01 2.98896e-06 8.78211e+01
2920 5.27027479e+02 3.88981e-04 9.51969e-01 3.18561e-06 9.22477e+01
2930 5.29892725e+02 3.74391e-04 9.55752e-01 3.12026e-06 9.46276e+01
2940 5.31538048e+02 4.08945e-04 9.59607e-01 5.27462e-06 8.55331e+01
2950 5.33197420e+02 4.18964e-04 9.63803e-01 3.88958e-06 8.52510e+01
2960 5.34846600e+02 4.08121e-04 9.67926e-01 3.50889e-06 8.77005e+01
2970 5.36504681e+02 3.92032e-04 9.71914e-01 2.92699e-06 9.07277e+01
2980 5.38171616e+02 4.02836e-04 9.75859e-01 2.66788e-06 8.76265e+01
2990 5.39819370e+02 4.00119e-04 9.79890e-01 3.00370e-06 8.86629e+01
3000 5.41473093e+02 4.24685e-04 9.83968e-01 3.63215e-06 8.33556e+01
3010 5.43127917e+02 4.22676e-04 9.88232e-01 3.03805e-06 8.46035e+01
3020 5.44774671e+02 3.95012e-04 9.92355e-01 3.01604e-06 9.07081e+01
3030 5.46423148e+02 3.78275e-04 9.96202e-01 1.92186e-06 9.38166e+01
3040 5.48093062e+02 3.88241e-04 1.00003e+00 2.27979e-06 9.16265e+01
3050 5.49784290e+02 3.97630e-04 1.00393e+00 2.37471e-06 8.85968e+01
3060 5.51522787e+02 4.05024e-04 1.00799e+00 2.85757e-06 8.76767e+01
3070 5.53213745e+02 3.96926e-04 1.01204e+00 3.06179e-06 8.98050e+01
3080 5.54874115e+02 4.04168e-04 1.01600e+00 2.91276e-06 8.71289e+01
3090 5.60837915e+02 4.22243e-04 1.02018e+00 2.80918e-06 8.42652e+01
3100 5.67532637e+02 4.14825e-04 1.02440e+00 3.01265e-06 8.60789e+01
3110 5.74415613e+02 4.08385e-04 1.02849e+00 2.62509e-06 8.68509e+01
3120 5.81030086e+02 4.16558e-04 1.03262e+00 2.72225e-06 8.45359e+01
