init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
1690 2.04826690e+02 2.95631e-04 5.77435e-01 3.85553e-05 1.19905e+02
1700 2.05861266e+02 3.11400e-04 5.80455e-01 3.86838e-05 1.14058e+02
1710 2.06890591e+02 3.11598e-04 5.83597e-01 3.78244e-05 1.14614e+02
1720 2.07944680e+02 3.01498e-04 5.86666e-01 3.41896e-05 1.18117e+02
1730 2.08970050e+02 2.83981e-04 5.89611e-01 3.01287e-05 1.25164e+02
1740 2.09992716e+02 2.84084e-04 5.92430e-01 2.80697e-05 1.23934e+02
1750 2.11024639e+02 2.98795e-04 5.95360e-01 3.39082e-05 1.18140e+02
1760 2.12060817e+02 3.09634e-04 5.98372e-01 3.36301e-05 1.12185e+02
1770 2.13074475e+02 3.08650e-04 6.01476e-01 3.41564e-05 1.14860e+02
1780 2.14085383e+02 3.00996e-04 6.04513e-01 3.15923e-05 1.17358e+02
1790 2.15120501e+02 3.25871e-04 6.07605e-01 3.59599e-05 1.07183e+02
1800 2.16131989e+02 3.23745e-04 6.10926e-01 3.75721e-05 1.09646e+02
1810 2.17163791e+02 3.04611e-04 6.14089e-01 3.31443e-05 1.16785e+02
1820 2.18173112e+02 3.15799e-04 6.17146e-01 3.10824e-05 1.10685e+02
1830 2.19222528e+02 3.17658e-04 6.20382e-01 3.81143e-05 1.13380e+02
1840 2.20413562e+02 2.94030e-04 6.23412e-01 2.40998e-05 1.20541e+02
1850 2.21870463e+02 3.12439e-04 6.26401e-01 2.39204e-05 1.12361e+02
1860 2.22941882e+02 3.20288e-04 6.29602e-01 2.79031e-05 1.12163e+02
1870 2.24196241e+02 3.00211e-04 6.32683e-01 2.21955e-05 1.18205e+02
1880 2.25766270e+02 3.16045e-04 6.35726e-01 2.35701e-05 1.10822e+02
1890 2.26784767e+02 3.01326e-04 6.38900e-01 2.39246e-05 1.18754e+02
1900 2.27818805e+02 2.92537e-04 6.41844e-01 2.08409e-05 1.20768e+02
1910 2.28888662e+02 3.19843e-04 6.44861e-01 2.52790e-05 1.09083e+02
1920 2.29911761e+02 3.28326e-04 6.48145e-01 2.39387e-05 1.06334e+02
1930 2.30934179e+02 3.20815e-04 6.51425e-01 2.20240e-05 1.10849e+02
1940 2.31974937e+02 3.22828e-04 6.54645e-01 2.04143e-05 1.10052e+02
1950 2.33018924e+02 3.15391e-04 6.57876e-01 1.79349e-05 1.13038e+02
1960 2.34054930e+02 3.24732e-04 6.61034e-01 2.02381e-05 1.09361e+02
1970 2.35095215e+02 3.33793e-04 6.64294e-01 1.84822e-05 1.07298e+02
1980 2.36108696e+02 3.24944e-04 6.67559e-01 1.64822e-05 1.08775e+02
1990 2.37186416e+02 3.49635e-04 6.70906e-01 1.81355e-05 1.01015e+02
2000 2.38234799e+02 3.42384e-04 6.74378e-01 1.60991e-05 1.03853e+02
